"","TFI.PA.Open","TFI.PA.High","TFI.PA.Low","TFI.PA.Close","TFI.PA.Volume","TFI.PA.Adjusted"
"2021-12-03",8.65,8.65,8.445,8.515,244637,8.515
"2021-12-06",8.5,8.68,8.5,8.675,131813,8.675
"2021-12-07",8.7,8.745,8.585,8.615,133865,8.615
"2021-12-08",8.59,8.59,8.41,8.45,203893,8.45
"2021-12-09",8.44,8.5,8.395,8.44,158935,8.44
"2021-12-10",8.4,8.555,8.3,8.515,91475,8.515
"2021-12-13",8.6,8.6,8.5,8.55,154842,8.55
"2021-12-14",8.54,8.575,8.435,8.44,124657,8.44
"2021-12-15",8.49,8.555,8.4,8.41,101952,8.41
"2021-12-16",8.535,8.595,8.46,8.545,107752,8.545
"2021-12-17",8.52,8.605,8.515,8.55,161655,8.55
"2021-12-20",8.41,8.61,8.36,8.61,140215,8.61
"2021-12-21",8.625,8.695,8.5,8.695,118688,8.695
"2021-12-22",8.7,8.75,8.68,8.74,61517,8.74
"2021-12-23",8.75,8.825,8.72,8.82,193902,8.82
"2021-12-24",8.85,8.85,8.715,8.735,17239,8.735
"2021-12-27",8.71,8.77,8.615,8.715,66799,8.715
"2021-12-28",8.69,8.76,8.68,8.755,62663,8.755
"2021-12-29",8.73,8.835,8.73,8.835,72572,8.835
"2021-12-30",8.81,8.81,8.74,8.81,54903,8.81
"2021-12-31",8.74,8.805,8.69,8.725,37568,8.725
"2022-01-03",8.7,8.86,8.62,8.815,147895,8.815
"2022-01-04",8.85,9.115,8.82,9.025,217880,9.025
"2022-01-05",9.02,9.03,8.795,8.87,135969,8.87
"2022-01-06",8.77,8.905,8.77,8.83,206935,8.83
"2022-01-07",8.88,8.975,8.775,8.955,130595,8.955
"2022-01-10",8.995,9,8.75,8.785,89964,8.785
"2022-01-11",8.87,8.94,8.76,8.885,87447,8.885
"2022-01-12",9,9.115,8.94,9.075,172602,9.075
"2022-01-13",9.08,9.215,9.03,9.215,150026,9.215
"2022-01-14",9.22,9.235,9.01,9.15,99455,9.15
"2022-01-17",9.175,9.24,9.11,9.24,75770,9.24
"2022-01-18",9.21,9.21,9.075,9.15,99856,9.15
"2022-01-19",8.88,8.885,8.305,8.475,1007664,8.475
"2022-01-20",8.6,8.68,8.475,8.57,289722,8.57
"2022-01-21",8.45,8.535,8.42,8.49,192556,8.49
"2022-01-24",8.42,8.425,8.025,8.07,291256,8.07
"2022-01-25",8.2,8.2,7.98,8.11,255298,8.11
"2022-01-26",8.17,8.305,8.12,8.25,174056,8.25
"2022-01-27",8.12,8.28,8.035,8.28,108350,8.28
"2022-01-28",8.34,8.355,8.16,8.315,169476,8.315
"2022-01-31",8.39,8.5,8.325,8.435,230870,8.435
"2022-02-01",8.515,8.55,8.34,8.4,175120,8.4
"2022-02-02",8.53,8.53,8.395,8.425,63322,8.425
"2022-02-03",8.4,8.42,8.33,8.395,83923,8.395
"2022-02-04",8.425,8.45,8.22,8.315,137669,8.315
"2022-02-07",8.32,8.445,8.31,8.37,93467,8.37
"2022-02-08",8.37,8.58,8.37,8.51,96862,8.51
"2022-02-09",8.56,8.65,8.54,8.65,116774,8.65
"2022-02-10",8.68,8.85,8.68,8.82,199072,8.82
"2022-02-11",9.2,9.23,8.81,8.985,700992,8.985
"2022-02-14",8.95,9.1,8.7,9.1,727082,9.1
"2022-02-15",9.135,9.415,9.13,9.395,638439,9.395
"2022-02-16",9.45,9.5,9.375,9.385,298541,9.385
"2022-02-17",9.4,9.485,9.24,9.305,233960,9.305
"2022-02-18",9.34,9.48,9.3,9.31,236634,9.31
"2022-02-21",9.33,9.355,9.1,9.15,174692,9.15
"2022-02-22",9,9.225,8.97,9.175,212617,9.175
"2022-02-23",9.19,9.235,9.015,9.035,212376,9.035
"2022-02-24",8.67,9.04,8.65,8.725,446686,8.725
"2022-02-25",8.91,8.96,8.745,8.89,324119,8.89
