"","ORA.PA.Open","ORA.PA.High","ORA.PA.Low","ORA.PA.Close","ORA.PA.Volume","ORA.PA.Adjusted"
"2021-09-09",9.527,9.548,9.418,9.465,5367944,9.157195
"2021-09-10",9.456,9.461,9.31,9.355,6240697,9.050773
"2021-09-13",9.366,9.455,9.344,9.417,3926946,9.110756
"2021-09-14",9.434,9.44,9.367,9.395,4723080,9.089472
"2021-09-15",9.37,9.419,9.343,9.369,5502701,9.064318
"2021-09-16",9.367,9.4,9.292,9.307,5323971,9.004333
"2021-09-17",9.327,9.436,9.301,9.353,12179445,9.048838
"2021-09-20",9.3,9.327,9.213,9.275,6663676,8.973374
"2021-09-21",9.24,9.344,9.205,9.286,4791069,8.984016
"2021-09-22",9.33,9.393,9.31,9.353,4858520,9.048838
"2021-09-23",9.38,9.407,9.326,9.328,7204163,9.024651
"2021-09-24",9.314,9.348,9.283,9.33,3441236,9.026586
"2021-09-27",9.343,9.516,9.315,9.432,6654240,9.125269
"2021-09-28",9.45,9.54,9.388,9.403,6835644,9.097212
"2021-09-29",9.405,9.424,9.322,9.402,7757085,9.096245
"2021-09-30",9.409,9.425,9.304,9.352,10058242,9.047871
"2021-10-01",9.3,9.308,9.233,9.28,8099696,8.978211
"2021-10-04",9.25,9.388,9.234,9.361,6653241,9.056578
"2021-10-05",9.38,9.451,9.332,9.405,6899382,9.099147
"2021-10-06",9.346,9.401,9.299,9.326,9551164,9.022716
"2021-10-07",9.336,9.534,9.306,9.41,9787775,9.103984
"2021-10-08",9.423,9.475,9.362,9.448,7268620,9.140748
"2021-10-11",9.426,9.476,9.367,9.448,6916260,9.140748
"2021-10-12",9.403,9.449,9.341,9.437,6917767,9.130106
"2021-10-13",9.43,9.436,9.293,9.403,7614027,9.097212
"2021-10-14",9.434,9.514,9.382,9.475,8681099,9.16687
"2021-10-15",9.493,9.588,9.405,9.512,8073205,9.202667
"2021-10-18",9.5,9.592,9.443,9.486,7191812,9.177512
"2021-10-19",9.477,9.486,9.422,9.435,6281166,9.128171
"2021-10-20",9.444,9.587,9.404,9.584,8926170,9.272326
"2021-10-21",9.59,9.673,9.567,9.613,8778101,9.300383
"2021-10-22",9.625,9.747,9.618,9.666,7626097,9.351659
"2021-10-25",9.655,9.687,9.575,9.605,8071515,9.292643
"2021-10-26",9.54,9.541,9.206,9.444,19334068,9.136879
"2021-10-27",9.441,9.529,9.359,9.515,8783219,9.205569
"2021-10-28",9.465,9.498,9.405,9.434,8723516,9.127204
"2021-10-29",9.449,9.455,9.37,9.435,9744259,9.128171
"2021-11-01",9.439,9.617,9.439,9.56,10171453,9.249106
"2021-11-02",9.558,9.595,9.507,9.543,4902951,9.232659
"2021-11-03",9.56,9.56,9.472,9.518,6017181,9.208471
"2021-11-04",9.533,9.56,9.469,9.498,6455935,9.189122
"2021-11-05",9.512,9.658,9.491,9.623,7876387,9.310058
"2021-11-08",9.601,9.633,9.545,9.598,5071561,9.28587
"2021-11-09",9.584,9.696,9.557,9.653,5306439,9.339082
"2021-11-10",9.669,9.849,9.651,9.828,9012914,9.50839
"2021-11-11",9.822,9.905,9.804,9.847,5623091,9.526772
"2021-11-12",9.85,9.865,9.813,9.862,5482468,9.541286
"2021-11-15",9.818,9.91,9.815,9.847,4354747,9.526772
"2021-11-16",9.852,9.931,9.81,9.81,6658986,9.490976
"2021-11-17",9.79,9.81,9.694,9.784,6094947,9.465822
"2021-11-18",9.794,9.928,9.763,9.78,7216363,9.461951
"2021-11-19",9.765,9.767,9.57,9.66,9351194,9.345854
"2021-11-22",9.724,9.907,9.721,9.856,12326340,9.53548
"2021-11-23",9.846,9.953,9.846,9.939,8036087,9.615781
"2021-11-24",9.974,9.999,9.867,9.927,7862532,9.604171
"2021-11-25",9.899,9.936,9.83,9.904,5122818,9.58192
"2021-11-26",9.76,9.812,9.583,9.666,12089129,9.351659
"2021-11-29",9.65,9.699,9.563,9.604,7895839,9.291676
"2021-11-30",9.54,9.557,9.454,9.51,15219277,9.200732
"2021-12-01",9.54,9.688,9.482,9.614,8121779,9.301351
"2021-12-02",9.47,9.51,9.248,9.302,16491967,8.999496
"2021-12-03",9.343,9.347,9.111,9.219,11654470,8.919195
"2021-12-06",9.248,9.322,9.218,9.269,8821530,8.967569
"2021-12-07",9.327,9.379,9.261,9.277,8780733,8.975309
"2021-12-08",9.28,9.31,9.215,9.221,8283108,8.92113
"2021-12-09",9.22,9.25,9.158,9.17,6785508,8.871789
"2021-12-10",9.161,9.233,9.123,9.225,6913592,8.925
"2021-12-13",8.964,9.001,8.926,8.996,10902617,8.996
"2021-12-14",9.13,9.248,9.082,9.19,13343689,9.19
"2021-12-15",9.221,9.23,9.133,9.174,7649731,9.174
"2021-12-16",9.234,9.273,9.166,9.221,10021653,9.221
"2021-12-17",9.226,9.316,9.21,9.305,14289280,9.305
"2021-12-20",9.247,9.263,9.141,9.26,8062861,9.26
"2021-12-21",9.298,9.354,9.233,9.344,6992327,9.344
"2021-12-22",9.31,9.379,9.294,9.373,6155733,9.373
"2021-12-23",9.39,9.414,9.349,9.349,6518985,9.349
"2021-12-24",9.338,9.415,9.33,9.384,1513562,9.384
"2021-12-27",9.384,9.448,9.344,9.372,3582719,9.372
"2021-12-28",9.391,9.451,9.367,9.42,4233930,9.42
"2021-12-29",9.42,9.454,9.389,9.427,4038526,9.427
"2021-12-30",9.416,9.44,9.391,9.426,3224345,9.426
"2021-12-31",9.357,9.413,9.338,9.413,2981820,9.413
"2022-01-03",9.432,9.495,9.418,9.424,6450743,9.424
"2022-01-04",9.461,9.54,9.461,9.49,8585931,9.49
"2022-01-05",9.509,9.52,9.401,9.45,9980707,9.45
"2022-01-06",9.45,9.463,9.382,9.432,10120682,9.432
"2022-01-07",9.434,9.457,9.368,9.429,6559974,9.429
"2022-01-10",9.495,9.693,9.433,9.629,13833998,9.629
"2022-01-11",9.631,9.754,9.624,9.69,7827674,9.69
"2022-01-12",9.74,9.772,9.693,9.748,8407252,9.748
"2022-01-13",9.749,9.902,9.712,9.882,8804219,9.882
"2022-01-14",9.87,9.999,9.842,9.967,8621755,9.967
