"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"2021-06-11",34.365002,36.939999,34.189999,36.900002,2535520,36.900002
"2021-06-14",36.919998,37.099998,36.505001,36.834999,1265936,36.834999
"2021-06-15",36.924999,37.02,36.145,36.220001,894846,36.220001
"2021-06-16",36.395,36.695,35.334999,36.695,1386512,36.695
"2021-06-17",36.490002,37.494999,36.259998,36.744999,1089738,36.744999
"2021-06-18",36.57,36.57,34.880001,35.279999,2227051,35.279999
"2021-06-21",34.869999,36.060001,34.419998,35.91,1261181,35.91
"2021-06-22",36.220001,36.34,34.799999,35.055,1724326,35.055
"2021-06-23",35.060001,35.395,34.93,35.200001,1029277,35.200001
"2021-06-24",35.34,35.764999,34.860001,35.365002,1090533,35.365002
"2021-06-25",35.279999,35.279999,34.419998,35.259998,1177070,35.259998
"2021-06-28",35.07,35.724998,34.650002,34.695,1203063,34.695
"2021-06-29",34.919998,35.450001,34.365002,35.084999,1048022,35.084999
"2021-06-30",35.084999,35.259998,34.005001,34.084999,1394048,34.084999
"2021-07-01",34.330002,35.610001,34.25,35.610001,1548387,35.610001
"2021-07-02",35.700001,35.939999,35.389999,35.509998,858446,35.509998
"2021-07-05",35.43,35.755001,34.919998,35.650002,635962,35.650002
"2021-07-06",35.400002,35.485001,33.630001,33.715,1900024,33.715
"2021-07-07",33.799999,34.235001,32.625,33.264999,1707343,33.264999
"2021-07-08",32.880001,32.880001,31.709999,32.735001,2005024,32.735001
"2021-07-09",33.060001,33.994999,32.91,33.5,1575154,33.5
"2021-07-12",33.43,33.43,32.400002,33.014999,924446,33.014999
"2021-07-13",33.055,33.200001,32.255001,32.435001,856571,32.435001
"2021-07-14",32.380001,32.884998,32.009998,32.035,677075,32.035
"2021-07-15",32,32.005001,31,31.334999,1171456,31.334999
"2021-07-16",31.344999,32.200001,30.76,30.965,1130768,30.965
"2021-07-19",30.52,30.57,29.08,29.83,2188171,29.83
"2021-07-20",30,30.34,29.4,30.07,1275900,30.07
"2021-07-21",30.334999,31.610001,30.165001,31.41,1514679,31.41
"2021-07-22",31.66,32.060001,30.91,30.915001,970949,30.915001
"2021-07-23",31.309999,31.934999,31.110001,31.215,821699,31.215
"2021-07-26",30.98,31.77,30.514999,31.540001,966111,31.540001
"2021-07-27",31.445,31.709999,30.865,31.5,1013956,31.5
"2021-07-28",31.74,33.200001,31.684999,32.93,1719785,32.93
"2021-07-29",33.02,33.715,33,33.134998,1184297,33.134998
"2021-07-30",34,34.619999,31.365,32.025002,2630666,32.025002
"2021-08-02",32.650002,33.360001,32.310001,32.755001,1453673,32.755001
"2021-08-03",32.939999,33.134998,32.275002,32.299999,1512817,32.299999
"2021-08-04",32.560001,33.584999,32.369999,33.584999,1522980,33.584999
"2021-08-05",33.57,34.174999,33.285,34.125,999881,34.125
"2021-08-06",33.990002,34.5,33.605,34.294998,783215,34.294998
"2021-08-09",34.23,34.235001,33.299999,33.605,822283,33.605
"2021-08-10",33.599998,33.68,33.224998,33.619999,635160,33.619999
"2021-08-11",33.619999,33.915001,33.134998,33.884998,680238,33.884998
"2021-08-12",33.994999,34.105,33.73,33.869999,659320,33.869999
"2021-08-13",33.900002,34.049999,33.459999,33.665001,712142,33.665001
"2021-08-16",33.369999,33.369999,32.759998,32.93,864873,32.93
"2021-08-17",32.630001,32.740002,32.349998,32.474998,768011,32.474998
"2021-08-18",32.465,32.465,31.92,32.345001,717523,32.345001
"2021-08-19",31.379999,32.035,31,31.504999,1411951,31.504999
"2021-08-20",30.91,31.15,30.41,31.15,1246271,31.15
"2021-08-23",31.645,31.985001,31.025,31.025,1231037,31.025
"2021-08-24",31.355,31.49,31.145,31.305,864181,31.305
"2021-08-25",31.299999,31.665001,30.91,31.375,655088,31.375
"2021-08-26",31.059999,31.280001,30.66,30.995001,786448,30.995001
"2021-08-27",30.98,31.225,30.77,31.174999,653532,31.174999
"2021-08-30",31.27,31.485001,30.915001,31.030001,458810,31.030001
"2021-08-31",31.105,31.74,30.875,31.450001,1205813,31.450001
"2021-09-01",31.709999,31.74,30.950001,30.950001,881691,30.950001
"2021-09-02",30.945,31.174999,30.6,30.674999,655848,30.674999
"2021-09-03",30.68,30.700001,30.08,30.110001,979218,30.110001
"2021-09-06",30.280001,30.620001,30.040001,30.155001,603899,30.155001
"2021-09-07",30.27,30.295,29.610001,29.735001,903584,29.735001
"2021-09-08",29.549999,30.055,29.08,29.49,1003556,29.49
"2021-09-09",29.135,29.620001,28.799999,29.35,1041382,29.35
"2021-09-10",29.299999,29.584999,28.965,29.254999,769910,29.254999
"2021-09-13",29.334999,30.025,29.334999,30.02,799409,30.02
"2021-09-14",30.084999,30.59,29.725,29.83,890243,29.83
"2021-09-15",29.725,29.875,29.360001,29.605,928547,29.605
"2021-09-16",29.674999,29.9,29.07,29.105,948038,29.105
"2021-09-17",29.264999,29.32,28.615,28.754999,1902233,28.754999
"2021-09-20",28.24,28.275,27.48,28.125,1872090,28.125
"2021-09-21",28.35,28.545,27.865,28.18,1094603,28.18
"2021-09-22",28.545,29.4,28.475,29.195,983760,29.195
"2021-09-23",29.450001,30.174999,29.389999,30.02,1371166,30.02
"2021-09-24",29.895,30.93,29.549999,30.73,1674352,30.73
"2021-09-27",31,31.639999,30.995001,31.51,1266132,31.51
"2021-09-28",31.58,31.98,30.639999,30.945,1837331,30.945
"2021-09-29",31.025,31.645,30.450001,31.389999,1291161,31.389999
