"","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
"2021-11-17",729,730.599976,722.099976,726.099976,420189,722.975647
"2021-11-18",729,735.900024,727.5,728.5,458866,725.365295
"2021-11-19",733,741.599976,724.099976,733.5,698218,730.343811
"2021-11-22",732.299988,735.400024,726.5,728.299988,297513,725.166199
"2021-11-23",722,729.200012,710.400024,718.099976,441531,715.010071
"2021-11-24",721,729.299988,716.200012,726.099976,384226,722.975647
"2021-11-25",732,738.5,730.200012,734.700012,226209,731.538635
"2021-11-26",697,713,645,692,921585,689.0224
"2021-11-29",712.700012,714.200012,692.099976,697.200012,565133,694.200012
"2021-11-30",687,692.299988,678.299988,686.599976,990257,686.599976
"2021-12-01",690,700.900024,678.5,697.5,441932,697.5
"2021-12-02",688,696,685.200012,686.599976,452744,686.599976
"2021-12-03",700,700.400024,680.200012,685,472844,685
"2021-12-06",683.799988,691.400024,674.400024,690.099976,410554,690.099976
"2021-12-07",701.299988,725,700.5,725,504118,725
"2021-12-08",723.400024,725.700012,714.299988,714.700012,364654,714.700012
"2021-12-09",718.799988,721.599976,708.5,715,238921,715
"2021-12-10",709,714.200012,706.599976,710,218081,710
"2021-12-13",713.799988,718.099976,705.5,709,263596,709
"2021-12-14",707.299988,716,700.099976,701.599976,288230,701.599976
"2021-12-15",705,715.099976,701,711.900024,329720,711.900024
"2021-12-16",723.200012,725,709.599976,713.299988,423780,713.299988
"2021-12-17",708,715.900024,694.599976,699,795828,699
"2021-12-20",680.200012,700.599976,678,697.799988,377559,697.799988
"2021-12-21",709.700012,711.599976,696.700012,701.5,309981,701.5
"2021-12-22",706,715.700012,702,715.400024,327128,715.400024
"2021-12-23",715,722.900024,710.099976,722,315889,722
"2021-12-24",720.900024,724.599976,717.400024,717.400024,48392,717.400024
"2021-12-27",717,726.400024,715.700012,726.299988,177954,726.299988
"2021-12-28",722.700012,730.799988,720.099976,730.799988,217145,730.799988
"2021-12-29",730,733.700012,725.700012,727.900024,168266,727.900024
"2021-12-30",729.099976,735.299988,727.5,730,246097,730
"2021-12-31",727.299988,731,724.099976,727,100673,727
"2022-01-03",734,737.5,727.799988,731,210987,731
"2022-01-04",734.599976,744.900024,734,744,291609,744
"2022-01-05",742.5,758.5,741.700012,758,384196,758
"2022-01-06",741.400024,746.200012,727.099976,727.099976,446581,727.099976
"2022-01-07",727.400024,729.400024,710.799988,715.799988,392865,715.799988
"2022-01-10",724.200012,725.299988,701.400024,702.700012,420089,702.700012
"2022-01-11",718.099976,721.099976,704.200012,710,370056,710
"2022-01-12",717.099976,718.299988,700.5,708.700012,432438,708.700012
"2022-01-13",702.099976,704.799988,685.400024,690,478517,690
"2022-01-14",683.700012,685.099976,675.200012,675.400024,517232,675.400024
"2022-01-17",677.099976,687.299988,668.099976,686.400024,261561,686.400024
"2022-01-18",688.400024,689,669.5,673,395209,673
"2022-01-19",679.099976,704.700012,676.599976,697.700012,555364,697.700012
"2022-01-20",702.799988,707.599976,686.099976,703.900024,414578,703.900024
"2022-01-21",691.099976,701.5,688.799988,697.200012,536630,697.200012
"2022-01-24",690.700012,699.799988,662.799988,662.799988,679863,662.799988
"2022-01-25",678,679,661.700012,667,460302,667
"2022-01-26",673.700012,687.900024,671.700012,683.599976,439855,683.599976
"2022-01-27",675.400024,694,668.400024,694,407906,694
"2022-01-28",728.700012,733.900024,687,716.400024,843629,716.400024
"2022-01-31",730,731.099976,704,722.599976,682044,722.599976
"2022-02-01",721,733.599976,717.799988,732.200012,421235,732.200012
"2022-02-02",735,738.5,727.099976,729.299988,338429,729.299988
"2022-02-03",732,733.099976,708.700012,711.700012,407920,711.700012
"2022-02-04",709.400024,713.299988,699.299988,706.099976,406201,706.099976
"2022-02-07",710,719.099976,703.200012,716.099976,353733,716.099976
"2022-02-08",716.099976,723.5,703.299988,706.099976,421466,706.099976
"2022-02-09",713,720.700012,711.5,716.599976,460237,716.599976
"2022-02-10",716.400024,717.700012,697.5,706.200012,380675,706.200012
