"","UBI.PA.Open","UBI.PA.High","UBI.PA.Low","UBI.PA.Close","UBI.PA.Volume","UBI.PA.Adjusted"
"2021-07-16",57.419998,57.860001,56.48,56.700001,523903,56.700001
"2021-07-19",55.700001,56.240002,54,56.02,705257,56.02
"2021-07-20",56.139999,56.400002,54.380001,54.400002,337241,54.400002
"2021-07-21",53.240002,54.66,51.82,54.66,886993,54.66
"2021-07-22",55,57.02,55,56.720001,575546,56.720001
"2021-07-23",56.900002,56.900002,55.799999,56.32,292520,56.32
"2021-07-26",56.080002,56.32,54.900002,55.02,373539,55.02
"2021-07-27",54.900002,55.419998,54.200001,54.200001,234204,54.200001
"2021-07-28",54.16,54.799999,53.919998,54.419998,249546,54.419998
"2021-07-29",54.560001,54.939999,53.580002,53.919998,338279,53.919998
"2021-07-30",53.560001,53.939999,53.419998,53.540001,409929,53.540001
"2021-08-02",53.540001,53.759998,52.82,53.52,361407,53.52
"2021-08-03",53.34,53.34,50.700001,50.84,536169,50.84
"2021-08-04",51.560001,52.5,50.84,51.619999,550860,51.619999
"2021-08-05",51.799999,51.919998,50.5,50.599998,471167,50.599998
"2021-08-06",50.439999,50.66,49.790001,50,488332,50
"2021-08-09",50.18,50.900002,49.66,50.560001,302790,50.560001
"2021-08-10",50.619999,50.759998,50,50.119999,267767,50.119999
"2021-08-11",50.240002,51.18,50.240002,50.900002,325191,50.900002
"2021-08-12",50.799999,51.599998,50.380001,51.439999,249402,51.439999
"2021-08-13",51.52,51.700001,51.279999,51.52,210768,51.52
"2021-08-16",51.439999,51.439999,50.459999,50.459999,239884,50.459999
"2021-08-17",50.400002,51.099998,49.919998,51.099998,318136,51.099998
"2021-08-18",51.48,52.080002,51.080002,51.240002,221863,51.240002
"2021-08-19",51.099998,51.68,50.639999,51.68,312893,51.68
"2021-08-20",51.779999,52.32,50.939999,51.560001,302874,51.560001
"2021-08-23",51.779999,52.040001,51.419998,51.759998,289034,51.759998
"2021-08-24",52,53.380001,51.959999,53.240002,373540,53.240002
"2021-08-25",53.380001,54.360001,52.540001,52.860001,345777,52.860001
"2021-08-26",52.639999,53.939999,52.200001,53.34,466717,53.34
"2021-08-27",53.5,53.98,53.099998,53.740002,317706,53.740002
"2021-08-30",53.700001,54.099998,52.099998,53.099998,258763,53.099998
"2021-08-31",53.119999,54.16,52.900002,53.919998,455658,53.919998
"2021-09-01",54.119999,55.639999,53.939999,55.540001,375485,55.540001
"2021-09-02",55.900002,56.080002,55.119999,55.799999,288729,55.799999
"2021-09-03",56.139999,56.419998,55.200001,55.540001,286147,55.540001
"2021-09-06",55.779999,56,55.299999,55.68,137393,55.68
"2021-09-07",55.639999,56.080002,55.34,55.799999,148092,55.799999
"2021-09-08",55.68,57.200001,55.52,56.360001,321404,56.360001
"2021-09-09",55.98,56.419998,54.900002,55.439999,460339,55.439999
"2021-09-10",56,56.240002,55.459999,56.220001,453133,56.220001
"2021-09-13",56.220001,56.82,55.380001,55.380001,465742,55.380001
"2021-09-14",55.299999,56.060001,54.860001,55.919998,266616,55.919998
"2021-09-15",55.98,56.419998,55.439999,55.799999,380687,55.799999
"2021-09-16",55.720001,55.900002,54.880001,55.52,390552,55.52
"2021-09-17",55.84,56.84,55.759998,55.919998,686814,55.919998
"2021-09-20",55.360001,55.400002,52.759998,53.540001,833847,53.540001
"2021-09-21",53.5,54.16,52.82,53.18,390823,53.18
"2021-09-22",53.380001,54.060001,52.380001,53.68,324014,53.68
"2021-09-23",54.139999,55.259998,53.939999,54.779999,325950,54.779999
"2021-09-24",54.740002,54.939999,54.360001,54.799999,295922,54.799999
"2021-09-27",54.919998,54.939999,53.540001,53.639999,404614,53.639999
"2021-09-28",53.5,53.919998,53.200001,53.400002,344089,53.400002
"2021-09-29",53.419998,53.759998,51,51.279999,592920,51.279999
"2021-09-30",51.400002,51.880001,50.900002,51.880001,444469,51.880001
"2021-10-01",51.720001,52.48,50.720001,52.34,458377,52.34
"2021-10-04",52.240002,53.18,51.84,52.560001,363008,52.560001
"2021-10-05",52.540001,53.200001,52.02,53.060001,420821,53.060001
"2021-10-06",53.040001,53.240002,51.099998,51.580002,793788,51.580002
"2021-10-07",52.080002,52.360001,47.23,48.369999,1337276,48.369999
"2021-10-08",48.369999,49.299999,47.5,48.66,1019780,48.66
"2021-10-11",48.799999,49.200001,46.849998,47.5,562966,47.5
"2021-10-12",46.919998,48.080002,46.470001,47.400002,419314,47.400002
"2021-10-13",47.5,48.09,47.029999,47.91,449537,47.91
"2021-10-14",47.709999,47.810001,45.259998,45.849998,993499,45.849998
"2021-10-15",46,46.240002,45.5,45.880001,418922,45.880001
"2021-10-18",45.919998,46.040001,45.380001,45.75,342406,45.75
"2021-10-19",45.93,46.91,45.75,46.169998,573689,46.169998
"2021-10-20",46.169998,47.790001,46,47.099998,481047,47.099998
"2021-10-21",46.950001,48.080002,46.650002,47.720001,463631,47.720001
"2021-10-22",48.740002,49.200001,47.599998,47.700001,638518,47.700001
"2021-10-25",47.889999,48.23,46.43,46.43,397198,46.43
"2021-10-26",46,46.169998,45.189999,45.189999,676118,45.189999
"2021-10-27",45,45,43.650002,44.549999,703930,44.549999
"2021-10-28",44.310001,45.330002,43.540001,43.540001,693325,43.540001
"2021-10-29",47,48.5,44.959999,45.23,1416475,45.23
"2021-11-01",45.290001,45.93,44.48,45.119999,370645,45.119999
"2021-11-02",45.23,47.279999,45.23,47.16,911198,47.16
"2021-11-03",46.990002,47.200001,46.66,46.959999,564643,46.959999
"2021-11-04",46.18,47.200001,45.610001,47,627690,47
"2021-11-05",47.200001,47.560001,46.470001,47.299999,468885,47.299999
"2021-11-08",47.02,47.5,46.650002,47.27,377660,47.27
"2021-11-09",47.549999,47.580002,46.91,47,442059,47
"2021-11-10",46.959999,47.610001,46.959999,47.09,316892,47.09
"2021-11-11",47.099998,47.349998,46.59,47.049999,327106,47.049999
"2021-11-12",46.799999,47.290001,45.73,45.98,533353,45.98
"2021-11-15",45.849998,47.689999,45.849998,46.810001,402101,46.810001
"2021-11-16",46.93,47.34,46.41,46.68,487294,46.68
"2021-11-17",46.720001,46.970001,46.080002,46.209999,399986,46.209999
"2021-11-18",46.5,46.720001,44.84,44.84,573710,44.84
"2021-11-19",44.68,45.560001,44.389999,45.560001,567470,45.560001
"2021-11-22",45.450001,46.610001,44.119999,44.119999,495736,44.119999
"2021-11-23",43.950001,44.720001,43.459999,44.34,465092,44.34
